epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6731,1.0273,4.26173,1.46727,0.03513,0.86462,0.16938,0.12707,0.82964,3.13814,1.30954,0.000109832,0.000109832,0.000109832
2,58.3772,0.89316,3.44372,1.3431,0.41278,0.58809,0.38106,0.30727,0.77253,2.41304,1.27217,0.000217188,0.000217188,0.000217188
3,86.2304,0.88849,3.01497,1.33645,0.3401,0.63122,0.48846,0.37986,0.84309,2.17055,1.33524,0.000320881,0.000320881,0.000320881
4,113.896,0.87629,2.69927,1.30939,0.4858,0.61548,0.61325,0.48172,0.89344,1.84066,1.37831,0.000316517,0.000316517,0.000316517
5,142.566,0.84752,2.43831,1.2785,0.59482,0.72193,0.77456,0.60726,0.88292,1.46471,1.32541,0.000311022,0.000311022,0.000311022
6,170.55,0.82425,2.19236,1.25997,0.70874,0.67754,0.79915,0.65473,0.78868,1.28803,1.26381,0.000305527,0.000305527,0.000305527
7,198.552,0.81925,2.02594,1.24832,0.64381,0.74589,0.81212,0.6442,0.87656,1.26078,1.31036,0.000300033,0.000300033,0.000300033
8,226.114,0.78435,1.87428,1.2212,0.73235,0.77064,0.83115,0.61031,1.11437,1.29721,1.51466,0.000294539,0.000294539,0.000294539
9,253.757,0.78896,1.8179,1.2214,0.79418,0.68995,0.83014,0.68513,0.781,1.24535,1.22752,0.000289044,0.000289044,0.000289044
10,281.018,0.75318,1.70522,1.20071,0.76997,0.77736,0.87006,0.68969,0.91193,1.06657,1.34578,0.00028355,0.00028355,0.00028355
11,308.653,0.75026,1.61336,1.19411,0.84626,0.80891,0.89799,0.70719,0.90613,0.97161,1.33933,0.000278055,0.000278055,0.000278055
12,335.851,0.75144,1.53293,1.18534,0.73831,0.81904,0.8887,0.69488,0.94896,1.01775,1.36241,0.000272561,0.000272561,0.000272561
13,363.644,0.73614,1.45897,1.17692,0.8617,0.77878,0.90923,0.68864,1.01589,0.97366,1.42987,0.000267066,0.000267066,0.000267066
14,391.164,0.72905,1.41634,1.16333,0.85362,0.85204,0.9248,0.70072,1.016,0.89966,1.43885,0.000261572,0.000261572,0.000261572
15,418.526,0.71895,1.37119,1.1689,0.86757,0.82983,0.92831,0.77116,0.75,0.74176,1.20022,0.000256077,0.000256077,0.000256077
